Fuel type,Engine capacity,Standart,COLD,%Taxi,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
LPG,1400-2000 cc,Euro 6,0,0.0008,0.0003,100.24,109.24,117.56,121.41,106.23,111.42,271.84,214.1,214.1,134.93,124.49,117.02,138.32,138.02,129.56,271.84,271.84,226.55,170.7,137.58,129.4,169.31,149.95,156.31,271.84,271.84,271.84,113.24,118.39,134.89,110.41,117.42,124.01,214.1,214.1,214.1
LPG,>2000 cc,Euro 0,0,0,0,125.32,136.56,146.97,151.78,132.81,139.3,339.84,267.66,267.66,168.68,155.63,146.3,172.92,172.55,161.97,339.84,339.84,283.23,213.4,171.99,161.77,211.66,187.46,195.41,339.84,339.84,339.84,141.56,148.01,168.63,138.03,146.79,155.03,267.66,267.66,267.66
LPG,>2000 cc,Euro 1,0,0,0,125.32,136.56,146.97,151.78,132.81,139.3,339.84,267.66,267.66,168.68,155.63,146.3,172.92,172.55,161.97,339.84,339.84,283.23,213.4,171.99,161.77,211.66,187.46,195.41,339.84,339.84,339.84,141.56,148.01,168.63,138.03,146.79,155.03,267.66,267.66,267.66
LPG,>2000 cc,Euro 2,0,0,0.0001,125.32,136.56,146.97,151.78,132.81,139.3,339.84,267.66,267.66,168.68,155.63,146.3,172.92,172.55,161.97,339.84,339.84,283.23,213.4,171.99,161.77,211.66,187.46,195.41,339.84,339.84,339.84,141.56,148.01,168.63,138.03,146.79,155.03,267.66,267.66,267.66
LPG,>2000 cc,Euro 3,0,0,0.0003,117.97,128.56,138.35,142.88,125.02,131.13,319.92,251.96,251.96,158.79,146.51,137.72,162.79,162.43,152.48,319.92,319.92,266.62,200.89,161.91,152.28,199.25,176.47,183.95,319.92,319.92,319.92,133.26,139.33,158.74,129.94,138.19,145.94,251.96,251.96,251.96
LPG,>2000 cc,Euro 4,0,0,0.0018,109.54,119.37,128.46,132.67,116.08,121.76,297.05,233.95,233.95,147.44,136.04,127.87,151.15,150.82,141.58,297.05,297.05,247.56,186.53,150.33,141.4,185.01,163.86,170.8,297.05,297.05,297.05,123.74,129.37,147.39,120.65,128.31,135.51,233.95,233.95,233.95
LPG,>2000 cc,Euro 5,0,0,0.0008,105.48,114.94,123.7,127.75,111.78,117.24,286.03,225.28,225.28,141.98,130.99,123.13,145.54,145.23,136.33,286.03,286.03,238.38,179.61,144.76,136.16,178.15,157.78,164.47,286.03,286.03,286.03,119.15,124.57,141.93,116.17,123.55,130.48,225.28,225.28,225.28
LPG,>2000 cc,Euro 6,0,0.0003,0.0001,100.24,109.24,117.56,121.41,106.23,111.42,271.84,214.1,214.1,134.93,124.49,117.02,138.32,138.02,129.56,271.84,271.84,226.55,170.7,137.58,129.4,169.31,149.95,156.31,271.84,271.84,271.84,113.24,118.39,134.89,110.41,117.42,124.01,214.1,214.1,214.1
Hybrid,<1400 cc,Euro 3,27.26,0,0,76.87,83.44,89.44,93.38,81.42,85.09,224.99,176.83,176.83,106.4,96.95,89.86,110.66,109.23,101.21,224.99,224.99,187.51,138.04,110.09,101.91,137.87,121.4,125.61,224.99,224.99,224.99,85.99,89.74,102.25,84.13,89.17,94,176.83,176.83,176.83
Hybrid,<1400 cc,Euro 4,27.26,0,0,73.53,79.84,85.62,89.29,77.88,81.42,213.66,167.96,167.96,101.5,92.6,85.94,105.42,104.16,96.64,213.66,213.66,178.07,131.37,104.88,97.23,131.12,115.53,119.61,213.66,213.66,213.66,82.33,85.94,97.92,80.53,85.37,90.02,167.96,167.96,167.96
Hybrid,<1400 cc,Euro 5,27.26,0,0,70.79,76.9,82.49,85.94,74.98,78.42,204.21,160.55,160.55,97.45,89.01,82.73,101.08,99.98,92.87,204.21,204.21,170.19,125.83,100.55,93.37,125.51,110.64,114.64,204.21,204.21,204.21,79.34,82.83,94.38,77.58,82.27,86.77,160.55,160.55,160.55
Hybrid,<1400 cc,Euro 6,27.26,0,0.0003,67.85,73.72,79.1,82.36,71.87,75.18,195,153.33,153.33,93.28,85.25,79.29,96.68,95.68,88.93,195,195,162.52,120.29,96.18,89.37,119.95,105.77,109.62,195,195,195,76.08,79.44,90.51,74.38,78.89,83.21,153.33,153.33,153.33
Hybrid,1400-2000 cc,Euro 3,27.26,0,0,95.85,104.03,111.51,116.42,101.51,106.09,280.52,220.47,220.47,132.66,120.88,112.04,137.97,136.19,126.19,280.52,280.52,233.79,172.11,137.26,127.07,171.9,151.37,156.61,280.52,280.52,280.52,107.21,111.89,127.49,104.9,111.18,117.2,220.47,220.47,220.47
Hybrid,1400-2000 cc,Euro 4,27.26,0,0,88.79,96.41,103.38,107.82,94.04,98.32,258,202.8,202.8,122.56,111.81,103.78,127.29,125.78,116.69,258,258,215.02,158.63,126.64,117.41,158.33,139.5,144.43,258,258,258,99.41,103.77,118.23,97.24,103.09,108.7,202.8,202.8,202.8
